,Pos,EQUIPE,P,J,V,E,D,GP,GC,SG,%,PE,GA
0,1,Vitin/Ceara,26,11,8.0,2,1,32,17,15.0,79,0.0,0.0
1,2,Eric/Santos,24,11,7.0,3,1,27,12,15.0,73,0.0,0.0
2,3,Barone/Vasco,21,11,6.0,3,2,32,20,12.0,64,0.0,0.0
3,4,Douglas/Fluminense,20,11,6.0,2,3,29,24,5.0,61,0.0,0.0
4,5,Icaro/CAP,19,11,5.0,4,2,25,14,11.0,58,0.0,0.0
5,6,Pedro/Goias,19,11,6.0,1,4,27,18,9.0,58,0.0,0.0
6,7,Jeiziel/Fortaleza,16,11,5.0,1,5,29,28,1.0,48,0.0,0.0
7,8,Israel/Cruzeiro,15,11,4.0,3,4,26,28,-2.0,45,0.0,0.0
8,9,Joao/Corinthians,9,11,3.0,0,8,21,30,-9.0,27,0.0,0.0
9,10,Asafe/Flamengo,6,9,1.0,3,5,21,31,-10.0,22,0.0,0.0
10,11,Gilzinx7/Sport,6,10,2.0,0,8,8,25,-17.0,20,0.0,0.0
11,12,Jaff/Botafogo,0,10,0.0,0,10,0,30,-30.0,0,0.0,0.0
0,1,Vitin/Ros_Central,18,7,6.0,0,1,17,8,9.0,86,0.0,
1,2,Joso/Ca_Colon,15,7,5.0,0,2,13,14,-1.0,71,0.0,
2,3,Israel/Independiente,12,7,4.0,0,3,18,12,6.0,57,0.0,
3,4,Eric/Boca_Jrs,12,7,4.0,0,3,11,8,3.0,57,0.0,
4,5,Ricardo/Def_y_justicya,7,7,2.0,1,4,12,12,0.0,33,0.0,
5,6,Icaro/Newells,7,7,2.0,1,4,6,9,-3.0,33,0.0,
6,7,Jeiziel/Atl_Tucuma,6,7,2.0,0,5,8,14,-6.0,29,0.0,
7,8,Douglas/Ca_Tigres,6,7,2.0,0,5,12,20,-8.0,29,0.0,
0,1,Israel/Vizela,19,9,6.0,1,2,26,17,9.0,70,0.0,
1,2,Barone/FCArouca,18,9,5.0,3,1,27,18,9.0,67,0.0,
2,3,Vitin/Braga,17,9,5.0,2,2,21,13,8.0,63,0.0,
3,4,Eric/Sporting,17,9,5.0,2,2,16,11,5.0,63,0.0,
4,5,Joao/Casa_Pia,13,9,4.0,1,4,23,21,2.0,48,0.0,
5,6,Icaro/Benfica,12,9,3.0,3,3,17,18,-1.0,44,0.0,
6,7,Jeiziel/Porto,11,9,2.0,5,2,16,16,0.0,41,0.0,
7,8,Douglas/Estoril,7,9,1.0,4,4,17,22,-5.0,26,0.0,
8,9,Daniel/Famalicao,5,9,1.0,2,6,11,23,-12.0,19,0.0,
9,10,Jason/Portimonense,4,9,1.0,1,7,5,20,-15.0,15,0.0,
0,1,Douglas/Operario,24,10,8.0,0,2,23,17,6.0,80,,
1,2,Israel/Ituano,22,11,7.0,1,3,33,23,10.0,67,,
2,3,Eric/Chapecoense,22,11,6.0,4,1,25,11,14.0,67,,
3,4,Icaro/Londrina,20,11,5.0,5,1,27,17,10.0,61,,
4,5,Vitin/Náutico,17,11,5.0,2,4,25,20,5.0,52,,
5,6,Barone/Vila_Nova,17,11,5.0,2,4,22,18,4.0,52,,
6,7,Jeiziel/Sport,14,11,4.0,2,5,21,17,4.0,42,,
7,8,Rodrigo/Criciuma,13,11,3.0,4,4,23,20,3.0,39,,
8,9,Mateus/Samp_Corr,12,11,3.0,3,5,21,26,-5.0,36,,
9,10,Joao/Vasco,12,11,3.0,3,5,18,25,-7.0,36,,
10,11,Daniel/Bahia,8,11,2.0,2,7,15,33,-18.0,24,,
11,12,Jason/Gremio,0,10,0.0,0,10,4,30,-26.0,0,,
0,1,Rodrigo/Belgica,26,11,8.0,2,1,25,10,15.0,79,,
1,2,Icaro/Argentina,22,11,7.0,1,3,23,10,13.0,67,,
2,3,Israel/Brasil,21,11,7.0,0,4,24,23,1.0,64,,
3,4,Barone/Italia,20,11,6.0,2,3,20,12,8.0,61,,
4,5,Jeiziel/Inglaterra,19,11,6.0,1,4,26,15,11.0,58,,
5,6,Eric/Maced_Norte,19,11,6.0,1,4,21,15,6.0,58,,
6,7,Douglas/Alemanha,15,11,5.0,0,6,29,23,6.0,45,,
7,8,Rhuan/Chipre,15,11,5.0,0,6,18,23,-5.0,45,,
8,9,Mateus/Marrocos,15,11,5.0,0,6,22,27,-5.0,45,,
9,10,Daniel/Franca,13,11,4.0,1,6,22,25,-3.0,39,,
10,11,Joao/Holanda,9,11,3.0,0,8,16,26,-10.0,27,,
11,12,Jason/Colombia,0,11,0.0,0,11,0,37,-37.0,0,,
0,1,Eric/Slavia_praga,20,11,5.0,5,1,28,19,9.0,61,0.0,
1,2,Douglas/Napoli,20,11,5.0,5,1,26,18,8.0,61,0.0,
2,3,Icaro/Inter_milan,18,11,5.0,3,3,23,19,4.0,55,0.0,
3,4,Joao/Bayern_M,18,11,5.0,3,3,20,18,2.0,55,0.0,
4,5,Jeiziel/Milan,17,11,5.0,2,4,21,17,4.0,52,0.0,
5,6,Rodrigo/PSG,15,11,4.0,3,4,21,19,2.0,45,0.0,
6,7,Vítin/Porto,14,11,4.0,2,4,22,17,5.0,42,0.0,
7,8,Rhuan/Barcelona,13,11,3.0,4,3,19,18,1.0,39,0.0,
8,9,Ricardo/Roma,13,11,4.0,1,6,17,24,-7.0,39,0.0,
9,10,Israel/Arsenal,13,11,4.0,1,6,22,31,-9.0,39,0.0,
10,11,Daniel/Man_Utd,9,11,2.0,3,6,25,32,-7.0,27,0.0,
11,12,Jaison/Shaktar,8,11,2.0,2,7,11,23,-12.0,24,0.0,
0,1.0,VITIN/ARSENAL,26.0,13.0,8.0,2.0,3.0,30.0,15.0,15.0,67.0,0.0,
1,2.0,ICARO/ROMA,26.0,13.0,8.0,2.0,3.0,28.0,18.0,10.0,67.0,0.0,
2,3.0,BARONE/FEYENOORD,25.0,13.0,8.0,1.0,4.0,26.0,19.0,7.0,64.0,0.0,
3,4.0,JAISON/PAOK,25.0,13.0,8.0,1.0,4.0,26.0,19.0,7.0,64.0,0.0,
4,5.0,JADISNEL/RENNES,22.0,13.0,6.0,4.0,2.0,34.0,22.0,12.0,56.0,0.0,
5,6.0,ERIC/DINAMO_K,19.0,13.0,5.0,4.0,4.0,20.0,20.0,0.0,49.0,0.0,
6,7.0,JOAO/BAYER_LEV,19.0,13.0,6.0,1.0,5.0,26.0,28.0,-2.0,49.0,0.0,
7,8.0,RIKELME/BESIKTAS,16.0,13.0,5.0,1.0,7.0,34.0,34.0,0.0,41.0,0.0,
8,9.0,DANIEL/PSV,15.0,13.0,4.0,3.0,5.0,24.0,22.0,2.0,38.0,0.0,
9,10.0,JEIZIEL/MONACO,14.0,13.0,4.0,2.0,5.0,23.0,25.0,-2.0,36.0,0.0,
10,11.0,ISRAEL/MAN_UTD,13.0,13.0,4.0,1.0,6.0,29.0,34.0,-5.0,33.0,0.0,
11,12.0,RODRIGO/O_MARSEILLE,8.0,13.0,2.0,2.0,7.0,14.0,27.0,-13.0,21.0,0.0,
12,,ROBERT,,,,,,,,,,,
13,13.0,,4.0,13.0,1.0,1.0,8.0,16.0,30.0,-14.0,10.0,0.0,
14,,MIGUEL/LAZIO,,,,,,,,,,,
15,14.0,RHUAN/BARCELONA,1.0,13.0,0.0,1.0,6.0,5.0,22.0,-17.0,3.0,0.0,
0,1.0,Daniel/COREIA_SUL,31.0,15.0,10.0,1.0,3.0,33.0,25.0,8.0,69.0,0.0,
1,,Jovisclovaldo/ARÁBIA,,,,,,,,,,,
2,2.0,,29.0,15.0,9.0,2.0,3.0,42.0,26.0,16.0,64.0,0.0,
3,,SAUDITA,,,,,,,,,,,
4,3.0,Douglas/NIGÉRIA,28.0,15.0,9.0,1.0,5.0,31.0,25.0,6.0,62.0,0.0,
5,4.0,Jaison/IRAQUE,27.0,15.0,8.0,3.0,4.0,31.0,22.0,9.0,60.0,0.0,
6,5.0,EGITO/ Vitin,25.0,15.0,7.0,4.0,4.0,36.0,22.0,14.0,56.0,0.0,
7,,Ricardo/COSTA_,,,,,,,,,,,
8,6.0,,24.0,15.0,7.0,3.0,5.0,29.0,31.0,-2.0,53.0,0.0,
9,,MARFIM,,,,,,,,,,,
10,7.0,Eric/AFRICA_SUL,20.0,15.0,5.0,5.0,5.0,26.0,24.0,2.0,44.0,0.0,
11,8.0,MARROCOS/Gabriel,20.0,15.0,6.0,2.0,6.0,27.0,28.0,-1.0,44.0,0.0,
12,9.0,Jeiziel/TUNISIA,20.0,15.0,6.0,2.0,7.0,19.0,20.0,-1.0,44.0,0.0,
13,10.0,Alysson/SENEGAL,20.0,15.0,6.0,2.0,7.0,24.0,26.0,-2.0,44.0,0.0,
14,11.0,Moacir/CAMAROES,19.0,15.0,6.0,1.0,8.0,27.0,25.0,2.0,42.0,0.0,
15,12.0,Israel/TAILANDIA,16.0,15.0,4.0,4.0,5.0,27.0,27.0,0.0,36.0,0.0,
16,13.0,Joao/CHINA,16.0,15.0,5.0,1.0,9.0,25.0,34.0,-9.0,36.0,0.0,
17,14.0,Rikelme/ARGÉLIA,12.0,15.0,3.0,3.0,8.0,25.0,34.0,-9.0,27.0,0.0,
18,15.0,Henri/JAPAO,12.0,15.0,3.0,3.0,9.0,18.0,35.0,-17.0,27.0,0.0,
19,16.0,Rhuan/NOVA_ZL,7.0,15.0,2.0,1.0,8.0,6.0,22.0,-16.0,16.0,0.0,
0,1,Jeiziel/Barcelona,20,11,6.0,2,2,25,15,10.0,61,0.0,
1,2,Eric/SlaviaPraha,17,11,5.0,2,1,19,10,9.0,52,0.0,
2,3,Alysson/Arsenal,14,11,4.0,2,4,21,17,4.0,42,0.0,
3,4,Daniel/City,12,11,4.0,0,2,11,8,3.0,36,0.0,
4,5,Jaison/Napoli,11,11,3.0,2,2,15,13,2.0,33,0.0,
5,6,Joao/PSV,9,11,2.0,3,3,16,17,-1.0,27,0.0,
6,7,Gustavo/Sevilla,8,11,2.0,2,0,8,4,4.0,24,0.0,
7,8,Israel/Inter_milan,4,11,1.0,1,2,7,8,-1.0,12,0.0,
8,9,Icaro/Roma,4,11,1.0,1,4,6,16,-10.0,12,0.0,
9,10,Ricardo/Bayern,3,11,1.0,0,3,3,9,-6.0,9,0.0,
10,11,Rikelme/Man_unt,1,11,0.0,1,3,6,14,-8.0,3,0.0,
11,12,Douglas/Milan,0,11,0.0,0,3,0,6,-6.0,0,0.0,
0,1,Jeiziel/Wolksburg,38,15,12.0,2,1,35,14,21.0,84,0.0,2.5
1,2,Alysson/ Milan,35,15,11.0,2,2,41,16,25.0,78,0.0,2.56
2,3,Eric/Leverkusen,35,15,10.0,5,0,40,15,25.0,78,0.0,2.67
3,4,Icaro/Roma,34,15,11.0,1,3,38,11,27.0,76,0.0,3.45
4,5,Barone/Bayern,29,15,9.0,2,4,34,20,14.0,64,0.0,1.7
5,6,Gabriel/Monaco,26,15,8.0,2,5,27,23,4.0,58,0.0,1.17
6,7,Rikelme/Benfica,26,15,7.0,5,3,35,20,15.0,58,0.0,1.75
7,8,Gustavo/PSG,24,15,7.0,3,5,38,27,11.0,53,0.0,1.41
8,9,Daniel/Arsenal,24,15,7.0,3,5,34,26,8.0,53,0.0,1.31
9,10,Douglas/Napoli,22,15,7.0,1,7,20,23,-3.0,49,0.0,0.87
10,11,Joao/Ajax,18,15,5.0,3,7,29,25,4.0,40,0.0,1.16
11,12,Israel/Inter_milan,16,15,5.0,1,9,18,25,-7.0,36,0.0,0.72
12,13,Marcos/Barcelona,0,15,0.0,0,12,0,36,-36.0,0,0.0,0.0
13,14,Ruan/Sevilla,0,15,0.0,0,12,0,36,-36.0,0,0.0,0.0
14,15,Jaison/Paok,0,15,0.0,0,12,0,36,-36.0,0,0.0,0.0
0,1,Riquelme/CAM,32,16,,2,4,36,30,,67,,
1,2,Alysson/Coritiba,31,16,,4,3,37,22,,65,,
2,3,Jeiziel/Fortaleza,24,16,,3,4,30,26,,50,,
3,4,Icaro/SPFC,24,16,,6,3,28,20,,50,,
4,5,Eric/Amer_Mg,21,16,,6,5,33,26,,44,,
5,6,Gabriel/Flamengo,20,16,,2,6,18,23,,42,,
6,7,Daniel/Botafogo,16,16,,4,7,33,35,,33,,
7,8,Gustavo/Goias,12,16,,3,9,24,39,,25,,
8,9,Barone/Vasco,8,16,,2,11,17,35,,17,,
9,,,,2° DIVISÃO,,,,,,,,,
10,Pos,EQUIPE,P,J,,E,D,GP,GC,,%,,
11,1,Joao/RB_Brag,42,18,,0,2,36,12,,78,,
12,2,Jaison/CSA,40,18,,1,4,31,15,,74,,
13,3,Hony/CAP,33,18,,0,2,32,12,,61,,
14,4,Luciano/Santos,25,18,,1,2,16,8,,46,,
15,5,Henrique/Internacional,21,18,,0,3,14,8,,39,,
16,6,Israel/Bahia,15,18,,0,4,2,11,,28,,
17,7,Pedro2/Samp_Corr,6,18,,0,11,4,33,,11,,
18,8,Vitin/Londrina,3,18,,0,12,5,11,,6,,
19,9,Cicero/Criciuma,0,18,,0,12,0,6,,0,,
20,10,Douglas/Corinthians,0,18,,0,9,0,24,,0,,
